Time,1Hash,AntPool,BTC.TOP,BTC.com,BTCC Pool,BW.COM,BitClub Network,BitFury,F2Pool,GBMiners,HaoBTC,SlushPool,Unknown,ViaBTC,others
2016-09-26 00:00:00 UTC,1.7246703364625214e+16,2.9146928686216614e+17,,4.82907694209506e+16,2.173084623942777e+17,1.845397260014898e+17,5.346478043033816e+16,1.5694500061808944e+17,3.397600562831167e+17,2.41453847104753e+16,1.0003087951482624e+17,1.0003087951482624e+17,3.449340672925043e+15,1.845397260014898e+17,9.140752783251363e+16
2016-10-03 00:00:00 UTC,1.383749007785118e+16,3.0442478171272595e+17,,8.821399924630128e+16,2.7502011529729222e+17,1.8161705727179674e+17,5.362027405167332e+16,1.470233320771688e+17,2.9058729163487475e+17,3.2864038934896556e+16,9.859211680468966e+16,1.0032180306442106e+17,5.189058779194193e+15,2.0410297864830493e+17,1.2280772444092923e+17
2016-10-10 00:00:00 UTC,1.8355296323464796e+16,3.395729819840987e+17,,5.5065888970394376e+16,1.780463743376085e+17,1.5785554838179722e+17,4.772377044100846e+16,1.596910780141437e+17,2.5330308926381414e+17,2.7532944485197188e+16,7.892777419089861e+16,1.3215813352894651e+17,1.1013177794078876e+16,1.6519766691118314e+17,1.064607186760958e+17
2016-10-17 00:00:00 UTC,2.198752161348819e+16,3.664586935581366e+17,,6.7794858308255256e+16,2.015522814569751e+17,1.484157708910453e+17,6.4130271372673896e+16,1.3009283621313846e+17,2.986638352498813e+17,3.847816282360434e+16,1.0993760806744096e+17,1.0444072766406891e+17,1.0993760806744096e+16,1.5208035782662666e+17,1.0993760806744096e+17
2016-10-24 00:00:00 UTC,1.2592710777841608e+16,2.932302652554545e+17,,7.015938861940324e+16,2.122771245407585e+17,2.1587504190585613e+17,8.275209939724485e+16,1.619062814293921e+17,3.202146454936866e+17,4.8571884428817624e+16,7.915418203214725e+16,1.0793752095292806e+17,1.9788545508036812e+16,1.4571565328645286e+17,1.2053023173076966e+17
2016-10-31 00:00:00 UTC,1.444768288942955e+16,2.817298163438762e+17,,3.792516758475256e+16,2.167152433414432e+17,1.697602739507972e+17,7.946225589186251e+16,1.607304721449037e+17,3.503563100686665e+17,5.959669191889689e+16,9.029801805893467e+16,9.210397842011338e+16,9.029801805893468e+15,1.318351063660446e+17,1.0293974058718554e+17
2016-11-07 00:00:00 UTC,3.4327095364720308e+16,3.27010750579704e+17,,4.697391997277516e+16,2.168027075666546e+17,1.8970236912082275e+17,7.0460879959162744e+16,1.3911507068860334e+17,2.8907027675553946e+17,8.672108302666184e+16,1.4634182760749184e+17,1.3730838145888123e+17,2.7100338445831824e+16,1.6621540913443517e+17,1.1562811070221578e+17
2016-11-14 00:00:00 UTC,4.5107348520156136e+16,3.6837667958127514e+17,,7.893785991027323e+16,2.1425990547074163e+17,1.8606781264564406e+17,6.95404956352407e+16,1.4847835554551395e+17,3.101130210760734e+17,5.262523994018216e+16,1.1652731701040334e+17,1.2028626272041635e+17,3.195103853511059e+16,1.5599624696553997e+17,1.2404520843042938e+17
2016-11-21 00:00:00 UTC,5.98444326689485e+16,3.7502511139207725e+17,,9.57510922703176e+16,2.1145032876361805e+17,2.154399576082146e+17,6.3834061513545064e+16,1.4961108167237123e+17,3.052066066116373e+17,4.987036055745708e+16,1.19688865337897e+17,1.536007105169678e+17,2.5932587489877684e+16,1.2567330860479186e+17,1.0572516438180901e+17
2016-11-28 00:00:00 UTC,4.234207034642151e+16,4.03257812823062e+17,,9.678187507753488e+16,1.8146601577037792e+17,2.60101289270875e+17,5.242351566699806e+16,1.5727054700099418e+17,3.548668752842946e+17,9.274929694930426e+16,1.008144532057655e+17,1.189610547828033e+17,2.419546876938372e+16,1.5122167980864826e+17,1.0887960946222675e+17
2016-12-05 00:00:00 UTC,7.118762194056776e+16,4.047524790335138e+17,2.033932055444793e+15,1.159341271603532e+17,1.8712174910092096e+17,2.1763072993259286e+17,7.525548605145733e+16,1.5864670032469386e+17,3.3559878914839085e+17,8.74590783841261e+16,1.403413118256907e+17,1.464431079920251e+17,2.4407184665337516e+16,1.3830737977024594e+17,1.0576446688312923e+17
2016-12-12 00:00:00 UTC,5.521827013259544e+16,3.9077545016913696e+17,2.973291468678216e+16,1.1468409950615976e+17,1.8476882698214627e+17,2.3786331749425728e+17,7.220850709647096e+16,1.9326394546408406e+17,3.504236373799326e+17,6.37133886145332e+16,1.0831276064470643e+17,9.769386254228424e+16,2.12377962048444e+16,1.4441701419294192e+17,9.769386254228422e+16
