Time,50BTC.com,AntPool,BTC Guild,BTCC Pool,BW.COM,BitFury,BitMinter,Eligius,F2Pool,KnCMiner,SlushPool,Unknown,ViaBTC,ghash.io,others
2015-12-01 00:00:00 UTC,,1.5508897835321587e+17,,9.391574101841136e+16,4.12313009349123e+16,9.553265478056477e+16,2829599083768491.5,1.064468226751004e+16,1.6155663340182957e+17,3.786273059709267e+16,3.0721361480915052e+16,5.524455354024198e+15,,7.410854743203192e+15,3.988387279978444e+16
2016-01-01 00:00:00 UTC,,2.2187385941985738e+17,,1.1280216231513966e+17,5.471348975285514e+16,1.2825694675831629e+17,4085747611414507.5,9.592624826799278e+15,1.977146561523629e+17,3.53505988987603e+16,3.588352250024915e+16,3.01990040843681e+15,,8.882060024814147e+15,5.2404154146403464e+16
2016-02-01 00:00:00 UTC,,2.5956579102868467e+17,,1.6891590599385776e+17,9.164059416089058e+16,1.4315746871620203e+17,5.20122291183433e+15,8.668704853057217e+15,2.7417875063812397e+17,4.136210601315872e+16,4.879242445863634e+16,1981418252127363.8,,9.164059416089058e+15,7.479853901780798e+16
2016-03-01 00:00:00 UTC,,3.0741752609044384e+17,,1.7748619638188768e+17,7.120236868028877e+16,1.3252995630272726e+17,2598626594171122.5,5.716978507176469e+15,2.8506933738057216e+17,4.547596539799465e+16,4.157802550673796e+16,1.819038615919786e+15,,7.016291804262031e+15,1.1174094354935829e+17
2016-04-01 00:00:00 UTC,,3.5427209481509626e+17,,1.8460045135016768e+17,8.497936796213006e+16,1.177079083259234e+17,2583832133983684.5,4.593479349304328e+15,3.0546637672873786e+17,4.880571808635849e+16,5.45475672729889e+16,1.722554755989123e+15,,5.45475672729889e+15,1.1541116865127123e+17
2016-05-01 00:00:00 UTC,,3.468984006509114e+17,,1.880554487739151e+17,1.3784646973233586e+17,1.2963045498007742e+17,3955858954791095.5,3.651562112114857e+15,3.6606910173951443e+17,4.7166010614816904e+16,7.333553908497338e+16,8.216014752258428e+15,,4.260155797467333e+15,9.67663959710437e+16
2016-06-01 00:00:00 UTC,,2.938068202358622e+17,,1.872102414654813e+17,1.918738417866855e+17,1.3324572346297603e+17,3.331143086574401e+15,3.664257395231841e+15,3.7008999691841594e+17,4.763534613801394e+16,6.828843327477522e+16,2.331800160602081e+16,1.0659657877038084e+16,3.664257395231841e+15,1.505676675131629e+17
2016-07-01 00:00:00 UTC,,2.902491430886824e+17,,2.0010117394113866e+17,2.0317440016207763e+17,1.3453901456110688e+17,2048817480625993.2,3.756165381147654e+15,2.963955955305603e+17,3.2781079690015892e+16,7.887947300410074e+16,1.5366131104694948e+16,4.814721079471084e+16,3073226220938989.5,1.820032861956091e+17
2016-08-01 00:00:00 UTC,,2.4760816555968186e+17,,2.1315245902886666e+17,2.033562287406937e+17,1.3140460627928546e+17,2364607310938298.5,2.702408355358056e+15,3.0098073057800346e+17,3.715811488617326e+16,9.525989452637146e+16,1.351204177679028e+15,1.263375906129891e+17,3.37801044419757e+15,2.0538303500721222e+17
2016-09-01 00:00:00 UTC,,2.5193322432261978e+17,,2.1132309264076464e+17,2.0154657945809584e+17,1.4401555957546773e+17,2632138164564684.5,2256118426769729.5,3.1021628368083776e+17,1.3536710560618376e+16,1.101737831739218e+17,3.008157902359639e+15,1.6206450698962557e+17,4.888256591334413e+15,2.9216733626667994e+17
